top - 17:49:06 up  2:22,  1 user,  load average: 1,03, 0,33, 0,10
Tareas: 412 total,   1 ejecutar,  411 hibernar,    0 detener,    0 zombie
%Cpu(s):  4,0 us,  1,3 sy,  0,0 ni, 94,0 id,  0,7 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  31453,3 total,  22974,8 libre,   5227,1 usado,   3744,6 búf/caché    
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  26226,1 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
 107281 dam       20   0   17228   5760   3584 R   9,1   0,0   0:00.02 top
    947 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_sys+
    948 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_del+
    949 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_dyn+
    950 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 spl_kme+
    952 root       0 -20       0      0      0 S   0,0   0,0   0:00.00 zvol
    953 root      20   0       0      0      0 S   0,0   0,0   0:00.00 arc_pru+
    954 root      20   0       0      0      0 S   0,0   0,0   0:00.07 arc_evi+
    955 root      39  19       0      0      0 S   0,0   0,0   0:00.08 arc_reap
    956 root      20   0       0      0      0 S   0,0   0,0   0:00.00 dbu_evi+
    957 root      39  19       0      0      0 S   0,0   0,0   0:00.06 dbuf_ev+
    958 root      39  19       0      0      0 S   0,0   0,0   0:00.00 z_vdev_+
    959 root      20   0       0      0      0 S   0,0   0,0   0:00.08 l2arc_f+
   1090 _rpc      20   0    7968   3840   3456 S   0,0   0,0   0:00.01 rpcbind
   1101 systemd+  20   0   22000  12928  10496 S   0,0   0,0   0:00.58 systemd+
   1102 systemd+  20   0   91560   8064   7296 S   0,0   0,0   0:00.06 systemd+
   1115 root      20   0    5140   1536   1408 S   0,0   0,0   0:00.00 blkmapd
   1137 root      20   0    5632   2816   2432 S   0,0   0,0   0:00.00 nfsdcld
   1173 root      20   0  316592   8164   7140 S   0,0   0,0   0:00.25 account+
